frame,time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,RightFoot_End.x,RightFoot_End.y,RightFoot_End.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,LeftFoot_End.x,LeftFoot_End.y,LeftFoot_End.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Head_End.x,Head_End.y,Head_End.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHand_End.x,RightHand_End.y,RightHand_End.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHand_End.x,LeftHand_End.y,LeftHand_End.z
10,0.416667,0.514846,99.7038,23.3186,-10.330704137878957,96.47166231203376,22.73894167919113,-8.187523488117122,59.122704643957285,45.990411287569486,-2.0617366365251426,12.246529562128934,55.33614094742148,-2.9023194078607335,12.759978364211527,71.11681871905644,11.227581004736134,96.0953044236556,22.528192516542887,8.434337366444918,54.660986943563486,7.846100496850898,5.283161608167508,17.396453085135697,-23.02003815195054,3.442681252136782,9.777653500233802,-9.28808545234646,0.6017430655333826,106.29003805950002,20.445843952021846,2.330363652839984,129.08315750868672,26.65049416175534,2.7678085745248113,150.40277180958074,24.7594623508893,2.258874892880781,164.53474983229398,34.73309564200435,2.1729794104107523,184.53450872357115,34.78070086094882,-4.168317650689868,144.7077576958946,32.07995920648625,-17.527393078722348,144.99633694471336,27.649420496601195,-24.5366248635452,118.12860897225579,20.625517419464487,-27.932969193095694,93.2113862110926,19.18159512681687,-28.83742186614069,78.32225352312865,17.60181882542955,7.147802801201353,144.62746169719372,33.792410411187234,21.02191510132255,146.25565386619746,32.05004257432825,28.601250550894097,118.13007868073407,27.41190282259439,27.127820579765594,93.7983091573515,30.97010574187462,26.19518442360508,78.90923377729689,32.53395488014657
11,0.4583337,0.316483,99.4534,28.0172,-10.568653548268118,96.33581962702267,27.566455571653822,-7.9628128432493295,58.022223281848206,49.14066773473701,-1.6184386525994503,10.672728686728092,55.46664555987262,-2.347533929731658,10.070465899797139,71.2497282629551,10.978214454582082,95.75730810845963,26.980347688546985,8.222740509595612,54.48263478489578,11.848348266454318,5.510212989468151,19.71071676613665,-21.839183836413426,3.562779128627287,10.488883175758765,-9.144094762719277,0.41961494895627394,106.08843041851433,25.259565989821358,2.059226059911154,128.82001423301523,31.709285384807032,2.3365390319029093,150.1489512725715,29.894662672971535,1.8074666717083785,164.27897476957514,39.870017090946035,1.5679958188771488,184.27744892419437,39.809311261973576,-4.504872217066024,144.3795147723897,37.245948381801746,-17.904723498458683,144.64133105649995,32.93859589977358,-24.655654798704383,117.88609352774601,25.26255900488563,-27.985784238851615,93.03088921095504,22.8925141099639,-28.878153777975708,78.21912012976267,20.69816379812272,6.824169981524768,144.370616358665,38.87267587538581,20.687555686167485,146.0439948822346,37.088246371128534,28.272126071017283,117.9813757640307,32.09121264793085,27.015669861258807,93.60190738348247,35.39721496317687,26.257693355671368,78.70065165382202,36.93930746891022
12,0.5000004,0.158366,99.7166,33.4346,-10.760931017607714,96.7072825815136,33.08583516209533,-7.744071747983622,57.57888180838246,53.0867229979675,-1.2901661435066654,9.937159495210686,56.38173668709412,-1.8916878969679456,8.439316004354385,72.11052037996154,10.771782018785206,95.92188484021821,32.26660476695457,7.8549617365231175,54.466951901908914,17.666967933803946,5.810088175753454,23.17465133042534,-19.318222676721426,3.7127588121827806,11.913255290757235,-8.419499413033531,0.29702459717866087,106.36333589185315,30.70687458035465,1.7282037596996696,129.095178815952,37.2051167321802,1.7307059550622186,150.4261099843487,35.39274741654907,1.1698199803037042,164.5862369466312,45.32357762795429,0.7224350442254479,184.58040148722938,45.14128379246628,-4.960161790871879,144.5745026807528,42.817280247032215,-18.43021762672437,144.7144649795132,38.72877760322215,-24.855959854941062,118.01368359432779,30.59751316960484,-28.035167216085004,93.2245475008639,27.45435730072439,-28.884773375167793,78.49812370284806,24.732113466002527,6.385354114995618,144.70081176691585,44.31955635416439,20.223301880730823,146.45447512631682,42.41857923984172,27.818873344718153,118.46417772289486,37.046690267575926,26.82793409340441,94.04475697473646,40.141321385854866,26.269431127435624,79.13571319770804,41.693251826195024
13,0.5416671,0.0156564,100.234,38.9753,-10.93309898747935,97.33703829830955,38.59974180187134,-7.8136114337744855,57.306831492001486,56.7110653754016,-1.3869716791663507,9.547979228453457,56.895590879013895,-2.0223903161949623,7.3781132840568535,72.54448620549188,10.593355681786088,96.32123178189963,37.87475542042737,7.507945146691764,54.267753138529834,25.140789935936894,6.771429534032766,26.901825254486685,-14.882421369881122,4.3997873946179675,13.730554556328991,-6.462626731150051,0.2351951399008489,106.86188318734673,36.207308420502486,1.429096347973729,129.62497287737108,42.643802439311926,1.1651178043103412,150.9537071523191,40.8248129216836,0.5942673059419684,165.12275061437137,50.742348625243565,-0.07062784915558273,185.11100729734102,50.576489623538514,-5.355907072513684,145.03028921288333,48.34292847350991,-18.923309704446854,145.05699145472605,44.58756958948917,-25.143847970971336,118.34577146244185,36.33196656785214,-28.196365115451965,93.59492228091533,32.787159041697315,-29.03877792480285,78.92389595952567,29.77861664782394,6.007118061547503,145.2856616190275,49.68827727381185,19.809331479790956,147.11600285452113,47.60822841539238,27.369668382674774,119.17542111927747,41.9362055013024,26.594029206195835,94.74170930431218,44.979053319505,26.204860116184133,79.84239083203214,46.66986864973896
14,0.5833338,-0.207437,100.955,44.6583,-11.161670319783472,98.08574204679122,44.23308620695601,-7.890057633509318,57.060733675177715,59.93066371683557,-1.2993359666065745,9.404296866289478,57.16116262128416,-1.9626245192638792,6.7508936540979665,72.7342002083911,10.36712169227615,96.99032569848401,43.72623683550596,7.185863586970925,54.01253842078062,34.61810317824494,7.962245939266127,30.36979848276127,-7.710515817639283,5.7114805594448335,15.869662449055248,-1.821533714676324,0.0592820498660063,107.53144441780222,41.77419702756704,1.0888982804215124,130.37358455511765,47.95389216162671,0.6332495391869146,151.6898304156003,46.02948057670851,0.15835539394539871,165.85560339695806,55.95674247230943,-0.65780388425082,185.83891915466612,55.98797323200652,-5.696597688288259,145.75970132448018,53.704069166299206,-19.36838453231286,145.64793127736453,50.35032506714322,-25.50551096067507,118.77835484341026,42.55924731662963,-28.475149057023177,93.98793212193505,39.22694370069254,-29.358217861140286,79.29562579230077,36.33621296204118,5.688287085085593,146.10436356848368,54.826176688847184,19.442231579585176,147.92582928031806,52.440988847746134,26.872979288068805,119.93608836741728,46.840539057911954,26.262235162419856,95.54628923398036,50.25103783040682,26.012415748750943,80.69732034274327,52.359523810352414
15,0.6250005000000001,-0.35747,101.954,50.0464,-11.291469753019209,99.0095813992782,49.6142841581238,-7.9407682262565,57.005617506237165,62.444269259022406,-1.218265258097067,9.582400503515174,57.14425410015468,-1.86978224332822,6.581517719538964,72.65458060009628,10.246314920998712,98.03373887066978,49.27182035712007,7.441019228862164,54.26320936914378,45.21722242707233,9.159660625231986,32.2261955708334,2.0580959062973534,7.6955116005132,17.213353480504615,6.79843766657873,-0.110577678824762,108.46598421104123,47.017882870364716,0.9116633544243297,131.37369500915514,52.95117174288876,0.34885914635131365,152.67955170467712,50.94193427525175,0.021196546480056755,166.7982052165417,60.94200615424138,-0.9201289925353774,186.77139388079013,61.37286670237273,-5.784905854412615,146.76651032740392,58.787033099744555,-19.552982785695733,146.53642936144854,55.86043645895603,-25.831464112067607,119.41736567898687,49.11681663920427,-28.790833097886274,94.52019691747199,46.69582936374705,-29.784520197051624,79.72600605028909,44.42767977998628,5.621747930990327,147.14870971615815,59.6447578252764,19.323962816635877,148.91645804575208,56.942495697852145,26.546683045256337,120.81557308352231,51.63408514802598,25.967509294775777,96.52680306177699,55.706801763643085,25.784683627879197,81.77873947150223,58.4383205925615
16,0.6666672,-0.450063,102.981,54.9669,-11.338701805880339,99.86524822915327,54.59499752132681,-8.020640199406063,57.033027209293486,64.31919470259315,-1.2761460717567008,9.866624525883608,57.10213334793303,-1.8551619647340418,6.650303309909137,72.57210485506103,10.21136465781945,99.20471108296906,54.27243768403691,8.306610747682342,55.230171161448546,55.9399065356327,10.086713117096348,32.01400903951946,13.405979379593937,9.56519810272124,17.016005208237313,18.384724519348282,-0.2996172349971352,109.43279955961022,51.80613131153101,0.7465491916518733,132.38723258446376,57.551707688202534,0.09176060735201808,153.68838686131235,55.520601661460944,0.03630535026809789,167.72488628864784,65.64081835347264,-0.9728753245581137,187.67446780037955,66.63869202900946,-5.769225768201274,147.7842406796459,63.578058056074106,-19.639815194092495,147.5033186875053,61.189401666555845,-26.219020092032785,120.13723004596294,55.88368715986356,-29.144897580608287,95.13953430870927,54.86265568579361,-30.253020156154125,80.23355240741286,53.60417727287207,5.659274900509633,148.18083785162796,64.05303364076264,19.255063170187157,149.9468768607507,60.85717771803147,26.332212746432404,121.75579431296504,55.83886481564224,25.91122773906555,97.61829299942255,60.745046018564835,25.888289413976427,83.02376812819003,64.20904913868718
17,0.7083339,-0.614595,104.244,59.7904,-11.43210893237777,100.88947629906528,59.41994263567719,-8.169385528411956,57.43218682877144,65.82207735957408,-1.2800785174946574,10.564066580384626,56.98123627851848,-1.8485378441229026,7.119105323040841,72.4022964213676,10.128714037143922,100.68275989158772,59.23582320751907,9.121440467566204,57.378668904667784,67.23018402569679,11.16329610341159,30.513190321648402,26.91429641919364,11.463051775848221,16.10692405762557,33.42349290316305,-0.581472574466068,110.63127842526626,56.49792564009149,0.5119640254985527,133.6390999618566,62.016680221259875,-0.0944035234193239,154.93886397311047,59.956174271592836,0.14626718112328896,168.90332450938627,70.17288102549209,-0.7735513900520016,188.8211806855028,71.73266919817998,-5.773793611862062,149.07953726796495,68.1747827770314,-19.702888260930326,148.84320267287967,66.14936535068102,-26.57176545189073,121.30248033478102,62.31967994798552,-29.360936059499327,96.27520921879332,62.90643741918091,-30.51425556461217,81.31965017708669,62.87315275073889,5.664891015730757,149.42257337879494,68.3546129044806,19.160699871902708,151.14659005805697,64.73953927565961,26.09968714019052,122.88238225961186,59.944577446431595,25.83439249823703,98.90762162218337,65.60207540618057,25.978508182201384,84.49189727736288,69.74527734233882
18,0.7500006,-0.706313,105.124,64.6768,-11.466187554369698,101.5882230697364,64.31340397670827,-8.289173585289145,57.757150463669234,67.29876117151083,-1.3353520912565529,11.219236884059015,56.90113240268761,-1.8509129840695173,7.532479543687877,72.26804547197455,10.095689044428115,101.73167583611634,64.21036222772717,9.858906581519381,59.866381152498796,77.90012980273549,11.45315402980942,26.702232646989266,42.56047026262913,12.462920121789208,13.726636978609946,51.53901633035211,-0.7646543395357125,111.46515811133108,61.29669345096916,0.36542892023240114,134.52147303228736,66.6015366792447,-0.14374325086716644,155.81488061793206,64.45099014408507,0.3932921369076713,169.74241200648777,74.70675144032599,-0.368637927175102,189.62165482609362,76.76470369842055,-5.673747007896549,150.03378924401372,72.82540044891539,-19.645727423374122,149.92880251412967,71.10767270839324,-26.944888942047964,122.29130433577501,69.31037289530849,-29.522307893657707,97.4031060245211,72.21253637951898,-30.653203198580176,82.54458172497525,73.92873317741532,5.768121854173434,150.29907346984123,72.74306042025094,19.158805888585167,151.98834032508015,68.74133502776809,25.950034947769,123.67424314426752,64.02988573608553,25.860502123831377,99.83986591378243,70.25734572728383,26.185693436433905,85.59113648544927,74.93366482336361
19,0.7916673000000001,-0.815263,105.356,69.4485,-11.552687122969624,101.75284344679295,69.08290233500183,-8.412441459181279,57.81785866348627,68.92583419598857,-1.3991497800015242,11.673708948752981,56.93521683676026,-1.8366269356921938,7.763139709180335,72.24913410050297,10.008142277234557,102.02533923332042,69.03707241447177,10.590786868182475,62.078065475971904,87.58551024019496,11.15797399128339,21.245483666017428,61.43837906040273,12.952342998909236,11.005576470122644,73.35158771650936,-0.9023606094437175,111.6708691466786,66.02014006347702,0.2658846088431268,134.76074117727893,71.16845243796924,-0.11084576056057377,156.05198383284085,68.96973151005463,0.6833754737751803,169.9718103123892,79.2192593412571,0.16978704036524295,189.81583419882045,81.65871479602849,-5.568930686367207,150.33423818822612,77.43432840926795,-19.55966525358715,150.4103625833451,75.87503405586163,-27.224407532045937,122.81357547754806,75.9667853200563,-29.451326880769205,98.26862052463045,81.17006054774036,-30.436599138770475,83.71237654131465,84.65502821987097,5.872409421261258,150.51187699703718,77.1941208890349,19.187020412745134,152.1992593528158,72.94538902348212,25.900035913783178,123.86657847632354,68.2335674054057,25.976907358439885,100.13448459449764,74.84027784243875,26.46908047764183,86.02061123115236,79.89560615068814
